id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
372,2.5,2.5,2.5,2.5,NA,NA,55,-71.32151239,-33.81653085,CIREN
373,2.5,2.5,2.5,2.5,2.5,NA,100,-73.39010134,-38.77419766,CIREN
376,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.06616466,-38.7282863,CIREN
377,2.5,2.5,2.5,2.5,NA,NA,60,-71.62135158,-35.79245669,CIREN
378,2.5,2.5,2.5,2.5,2.5,2.5,110,-70.98303871,-30.01496878,CIREN
379,2.5,2.5,2.5,2.5,2.5,2.5,104,-72.662115,-41.04287738,CIREN
380,2.5,2.5,2.5,2.5,2.5,2.5,115,-72.56574936,-37.70163012,CIREN
383,2.5,2.5,2.5,2.5,NA,NA,53,-71.07528112,-29.98909744,CIREN
384,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.02154199,-38.99080318,CIREN
385,2.5,2.5,2.5,2.5,NA,NA,55,-71.23546365,-30.10744731,CIREN
386,2.5,2.5,2.5,2.5,2.5,NA,100,-71.01537702,-31.78677512,CIREN
387,2.5,2.5,2.5,2.5,2.5,NA,80,-71.73620381,-35.39782138,CIREN
388,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.42342361,-36.69110141,CIREN
390,2.5,2.5,2.5,2.5,2.5,NA,87,-71.28285858,-34.06793261,CIREN
391,2.5,2.5,2.5,2.5,1.63030486352726,NA,100,-72.40426454,-36.77810494,CIREN
392,2.5,2.5,2.5,2.5,2.5,NA,70,-70.69668594,-33.07641198,CIREN
393,2.5,2.5,2.5,2.5,0.7174830003436737,NA,80,-71.41891698,-32.12451636,CIREN
397,2.5,2.5,2.5,2.5,2.5,NA,92,-72.2620899,-38.63923154,CIREN
399,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.07596024,-36.43975453,CIREN
400,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.23071426,-38.6326702,CIREN
402,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.21229202,-41.32970875,CIREN
403,2.5,2.5,2.5,2.5,2.5,2.5,110,-72.46534815,-37.58597579,CIREN
404,2.5,2.5,2.5,2.5,2.5,NA,90,-71.44879746,-35.79339302,CIREN
405,2.5,2.5,2.5,2.5,2.5,2.5,110,-72.59836502,-40.2876315,CIREN
406,2.5,2.5,2.5,2.5,2.5,NA,90,-72.51625491,-37.65554145,CIREN
407,2.5,2.5,2.5,2.5,2.5,2.5,130,-73.5432926,-40.92587123,CIREN
408,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.03298577,-38.02441915,CIREN
409,2.5,2.5,2.5,2.5,2.5,NA,80,-72.93522489,-40.29278791,CIREN
410,2.5,2.5,2.5,2.5,2.5,2.5,105,-70.82973323,-33.49838176,CIREN
412,2.5,2.5,2.5,2.5,2.5,NA,90,-70.75252318,-34.13218908,CIREN
