id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2086,0.6595788020276456,0.6595788020276456,0.6617457849873796,0.7436067872969918,0.8267746955219147,NA,74,-72.66258565,-48.31854844,CHLSOC
2087,0.24431291365366167,0.21782443019594566,0.1500996036393483,0.1523226295981901,0.07252182101271865,NA,74,-72.66258565,-48.31854844,CHLSOC
2088,0.2396983969098189,0.25200394643572605,0.2826711548912628,0.32135243200443364,0.34161378371316076,NA,80,-72.34483909,-48.253207,CHLSOC
2089,0.37237568339126126,0.3524355975454906,0.27282982847128967,0.20181839097092483,NA,NA,31,-73.51804315,-47.79141855,CHLSOC
2090,0.723,0.723,0.723,NA,NA,NA,23,-73.07585168,-47.7001661,CHLSOC
2091,0.610398100962444,0.5633864233684904,0.46461544406633176,0.35571433508044,0.31018442351564735,NA,74,-72.94555953,-47.48234204,CHLSOC
2092,0.251,0.251,NA,NA,NA,NA,8,-72.59043587,-47.2896276,CHLSOC
2093,0.49099545929487687,0.4698685887692775,0.4354895338357092,NA,NA,NA,25,-72.49085695,-47.26195015,CHLSOC
2094,0.43880786535544203,0.274060488105441,0.3485848536060839,0.2683658158537078,NA,NA,58,-72.24317388,-47.23738386,CHLSOC
2096,0.401410953930711,0.40017096133564906,0.3919916741824976,0.32256093560268334,NA,NA,56,-72.68752222,-47.14735727,CHLSOC
2097,0.3398898258946924,0.34884786062686796,0.3786578146741513,0.3949468141911609,NA,NA,36,-72.45635354,-47.11921865,CHLSOC
2098,0.424094187694765,0.39352059893368674,0.3703347044997957,0.4012619728161717,NA,NA,47,-72.60890576,-47.1135525,CHLSOC
2099,0.23145297896172135,0.2211734922364211,0.18776036130714138,0.17384014663570618,0.04460305932969652,0.19597123153493493,120,-71.7001371,-46.54507242,CHLSOC
2100,0.22839868205807107,0.22277449218780884,0.21546219545235604,0.2508345691343287,0.26398337870350747,NA,92,-71.73868062,-46.72717222,CHLSOC
2101,0.17713380854549043,0.18204409943595296,0.20025692226174882,0.21293498842089056,0.2066899606371,NA,69,-71.8672515,-46.51644819,CHLSOC
2102,0.5478026306259836,0.4188945136194548,0.4778018422693549,0.5307065568868243,0.12430469741402969,NA,65,-72.53019162,-46.75176027,CHLSOC
2107,0.24902983503615206,0.2112110365840975,0.10814044305366932,0.16320165586559987,0.2802570248519139,NA,90,-72.71684099,-46.53849301,CHLSOC
2108,0.2672570393900397,0.22080387590109687,0.057897277381678415,0.3167053863539551,0.8910670250499754,0.32648276734404397,168,-72.56091111,-46.12423387,CHLSOC
2109,0.29123812844557095,0.2798088598154381,0.2559663325835126,0.2615294601398161,0.37969489322170463,NA,90,-72.0735922,-46.10764901,CHLSOC
2110,0.18315351991057646,0.11722813850669445,0.05914070460705797,0.4167991036435445,0.38434670873191223,NA,97,-71.9530782,-46.23658086,CHLSOC
2111,0.24915658531016824,0.22043363287690357,0.16387025963223226,0.13902306067640877,0.12897273901090028,0.11495130506072926,122,-71.94350943,-46.28714194,CHLSOC
2112,0.16378085914635104,0.26469542688747993,0.3191782382130826,0.2480291892948472,0.3945610535799541,NA,100,-72.09926057,-46.2222507,CHLSOC
2113,0.3647565801640114,0.363551661482452,0.3591254474754487,0.3259771241179609,0.3670420138224809,NA,100,-71.83604749,-45.90280182,CHLSOC
2114,0.19528006706371037,0.17723632610735224,0.1763762229371989,0.1906520083722162,0.1871066217277793,0.22082565017457026,122,-71.72763736,-45.86700008,CHLSOC
2115,0.4171106118297883,0.4106986601923866,0.3778773072949188,0.3233570851286307,0.4376306573508319,0.4010957127302008,106,-71.78873351,-45.78201941,CHLSOC
2116,0.4650053701577247,0.4380621893204919,0.3883606341552083,0.3481541101170228,0.303731073950321,0.4100226340504834,178,-72.06091754,-45.75910861,CHLSOC
2117,0.411776411260662,0.4103836174002619,0.40513088048528345,0.4344213475918972,0.41122528734894354,0.39713077619129084,124,-72.06522654,-45.84895919,CHLSOC
2118,0.42565841228001966,0.4437613977518887,0.4375959710740464,0.32023047539415694,0.3250111654185415,NA,80,-72.11269808,-45.75145597,CHLSOC
2119,0.6067995150123849,0.6533954075480942,0.5409349553465906,0.2930249061691139,0.3913775834792881,NA,80,-72.19405994,-45.69169256,CHLSOC
2120,0.3266699406214428,0.29686811005441177,0.23668343424713809,0.2855275012278407,0.3248072766815112,NA,94,-72.19467987,-45.59553961,CHLSOC
2121,0.5712831173398266,0.4620300040897138,0.3413314956255708,0.31912698020454655,0.3164894349047181,0.26165394983977863,118,-72.01347312,-45.57205753,CHLSOC
2122,0.32723348860679746,0.330201510468716,0.33889136525140495,0.3866439378332386,0.4030990520514924,0.31937241788920784,155,-72.00266047,-45.44787081,CHLSOC
2124,0.3387870688519488,0.30805071061331885,0.3645042001295394,0.34604943580330677,0.313700788803315,NA,88,-72.60571986,-45.35511452,CHLSOC
2126,0.43861580220129764,0.37807449881168204,0.25094871145795017,0.4238459015357036,0.23082446298873865,0.31212206078275406,130,-72.27508941,-45.86483568,CHLSOC
2127,0.34900745392077726,0.31790145728360786,0.2702683417650119,0.24638114729331995,0.24252138416545405,0.2698046576498027,116,-71.52774381,-45.37193228,CHLSOC
2128,0.3705389044612031,0.35818791357874613,0.33765973163196134,0.38138947512602334,0.3630955807407669,NA,80,-71.87770767,-45.13722744,CHLSOC
2129,0.4421386008635632,0.4559990362119912,0.48614994847262055,0.5007019698539189,NA,NA,39,-71.86727854,-44.68611968,CHLSOC
