ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13314,T0,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,testigo,NA,0,20,21.1,20.6,58.3,2.55,1.37,0.239,0.136,0.148,0.082,0.103,-999,0.469,46.3,-999,0.28,1.85,-999,2,-999,-999,-999,-999
13314,TE,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃƒÂ³n orgÃƒÂ¡nica 10L/ha, concentracion 0.8ml/L",NA,0,20,19.9,24.2,55.9,2.6,1.47,0.246,0.153,0.168,0.071,0.093,-999,0.485,-999,-999,0.25,1.68,-999,2.1,-999,-999,-999,-999
13314,TM,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,mulch 20 Mg/ha,NA,0,20,21.2,23.4,55.4,2.61,1.37,0.263,0.144,0.148,0.075,0.119,-999,0.486,-999,-999,0.22,0.92,-999,2.3,-999,-999,-999,-999
13314,TME,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃƒÂ³n orgÃƒÂ¡nica 10L/ha, concentracion 0.8ml/L + mulch",NA,0,20,22.3,20.5,57.2,2.59,1.33,0.261,0.135,0.184,0.088,0.126,-999,0.533,-999,-999,0.21,1.73,-999,2.3,-999,-999,-999,-999
13333,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.2195621,-34.35080976,testigo,Carlos Gutierrez,0,15,22.8,39.5,37.8,-999,1.521,0.377,0.233,0.04,0.046,0.144,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13334,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.21956199,-34.35080968,testigo,Carlos Gutierrez,15,40,30.8,43.8,25.4,-999,1.631,0.393,0.246,0.028,0.03,0.147,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13335,H3,6,Peumo,NA,Galleguillos,UChile,Beya,-71.21956188,-34.35080959,testigo,Carlos Gutierrez,40,75,27.7,55.4,16.9,-999,1.413,0.407,0.235,0.048,0.056,0.172,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13336,H1,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.31264087,-34.41033856,testigo,Eduardo Marambio,0,45,19.1,17,63.9,-999,1.656,0.101,0.087,0.24,0.152,0.075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13337,H2,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.31264076,-34.41033847,testigo,Eduardo Marambio,45,85,16.4,16.8,66.7,-999,1.735,0.077,0.134,0.281,0.147,0.042,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13338,H3,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.31264065,-34.41033838,testigo,Eduardo Marambio,85,100,16.2,17.2,66.6,-999,1.745,0.084,0.145,0.271,0.126,0.032,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13339,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.15179946,-34.39732573,testigo,Enrique Bravo,0,50,20.9,40.3,38.8,-999,1.463,0.296,0.155,0.079,0.106,0.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13340,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.15179935,-34.39732564,testigo,Enrique Bravo,50,95,30.6,47.1,22.3,-999,1.372,0.381,0.217,0.082,0.047,0.164,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13341,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.19050401,-34.39502474,testigo,Jose Cartagena,0,30,12.8,50.1,37.1,-999,1.28,0.375,0.147,0.049,0.086,0.228,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13342,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.1905039,-34.39502465,testigo,Jose Cartagena,30,55,19.6,48.5,31.9,-999,1.313,0.338,0.168,0.052,0.102,0.17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13343,H3,6,Peumo,NA,Galleguillos,UChile,Beya,-71.19050379,-34.39502456,testigo,Jose Cartagena,55,85,27.2,51,21.8,-999,1.348,0.428,0.238,0.059,0.034,0.19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13344,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.16746085,-34.3799909,testigo,Jose Olea,0,30,23.9,40.5,35.6,-999,1.35,0.32,0.21,0.175,0.074,0.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13345,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.16746074,-34.37999082,testigo,Jose Olea,30,60,22.9,38.4,38.7,-999,1.42,0.308,0.213,0.143,0.078,0.095,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13346,H3,6,Peumo,NA,Galleguillos,UChile,Beya,-71.16746063,-34.37999073,testigo,Jose Olea,60,90,21.8,37.3,40.9,-999,1.42,0.25,0.159,0.129,0.112,0.091,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13347,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.18249747,-34.39538427,testigo,Manuel Ibarra,0,40,37.2,34.7,28.1,-999,1.417,0.389,0.254,0.064,0.036,0.135,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13348,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.18249736,-34.39538418,testigo,Manuel Ibarra,40,100,31.6,36.6,31.8,-999,1.368,0.414,0.259,0.043,0.04,0.154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13349,H1,6,Peumo,NA,Galleguillos,UChile,Beya,-71.23839657,-34.36822796,testigo,Sergio Cartagena,0,50,25.2,38.7,36.2,-999,1.559,0.325,0.199,0.053,0.083,0.126,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13350,H2,6,Peumo,NA,Galleguillos,UChile,Beya,-71.23839646,-34.36822787,testigo,Sergio Cartagena,50,65,25.3,43.3,31.4,-999,1.472,0.325,0.184,0.064,0.073,0.141,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13351,H3,6,Peumo,NA,Galleguillos,UChile,Beya,-71.23839635,-34.36822778,testigo,Sergio Cartagena,65,95,15.5,43.2,41.4,-999,1.443,0.293,0.129,0.064,0.121,0.164,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13355,H1,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.32267067,-34.41718864,testigo,Francisco Marciel,0,25,14.1,22,64,-999,1.281,0.394,0.137,0.107,0.042,0.257,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13356,H2,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.32267056,-34.41718855,testigo,Francisco Marciel,25,65,12.7,20.1,67.1,-999,1.466,0.346,0.104,0.122,0.066,0.242,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13357,H3,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.32267044,-34.41718846,testigo,Francisco Marciel,65,80,10.3,17.9,71.8,-999,1.559,0.337,0.102,0.119,0.087,0.234,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13358,H4,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.31992116,-34.34225857,testigo,Victor Osorio,0,45,32.2,44.4,23.3,-999,1.411,0.496,0.249,0.055,0.024,0.246,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13359,H5,6,Pichidegua,NA,Galleguillos,UChile,Beya,-71.31992105,-34.34225849,testigo,Victor Osorio,45,80,32.1,29.4,38.5,-999,1.46,0.532,0.272,0.039,0.03,0.26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
