ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13368,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.23845406,-30.29924696,testigo,sitio 20,0,10,14.84,19.81,65.35,-999,-999,0.11884031,0.065733226,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.93,2.512546002,1.827,-999,-999,-999
13369,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28396856,-30.28464969,testigo,sitio 21,0,10,17.9,16.34,65.76,-999,-999,0.158016383,0.087941821,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.39,2.960156345,2.275,-999,-999,-999
13370,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.29151603,-30.28855782,testigo,sitio 23,0,10,10.79,15.41,73.81,-999,-999,0.131948572,0.079647467,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.88,2.799763973,4.025,-999,-999,-999
13371,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.27379676,-30.24992921,testigo,sitio 24,0,10,8.55,13.11,78.34,-999,-999,0.174590586,0.084662572,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.04,2.284789644,3.493,-999,-999,-999
13372,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28923395,-30.26992326,testigo,sitio 26,0,10,3.5,9.84,86.66,-999,-999,0.108966989,0.092302475,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,3.644710415,4.319,-999,-999,-999
13373,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.30107284,-30.29815896,testigo,sitio 27,0,10,19.23,33.12,47.65,-999,-999,0.152876212,0.08673004,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.05,3.072482889,4.319,-999,-999,-999
13374,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28987297,-30.257783710000002,testigo,sitio 29,0,10,23.31,25.72,50.96,-999,-999,0.189388899,0.093964244,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.18,3.495837789,4.123,-999,-999,-999
13375,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.31259733,-30.26955361,testigo,sitio 31,0,10,13.25,13.52,73.23,-999,-999,0.111897176,0.090664182,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.3,1.852685751,1.841,-999,-999,-999
13376,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.27945126,-30.25145935,testigo,sitio 32,0,10,8.05,10.99,80.96,-999,-999,0.106493236,0.057384394,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.95,2.04998573,2.261,-999,-999,-999
13377,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.25326618,-30.2933066,testigo,sitio 33,0,10,16.54,21.62,61.84,-999,-999,0.158377689,0.099410425,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.84,1.852827304,2.023,-999,-999,-999
