ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13759,North-1,NA,Playa entre Copiapo y Vallenar,NA,Seguel,UChile,NA,-70.78897191,-26.95608367,testigo,NA,0,30,10.09561999,7.066933991,82.83744602,2.760094211,1.61006734,0.092003848,0.034004369,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13912,D3P1,NA,NA,2021,Seguel,UChile,NA,-72.644606,-42.933248,testigo,NA,50,70,6.611288605,33.8828541,59.50585729,-999,0.711028632,0.525366652,0.282900412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13913,D5P1,NA,NA,2021,Seguel,UChile,NA,-71.958708,-43.117888,testigo,NA,50,70,6.622664016,30.83677932,62.54055666,-999,1.010180276,0.30899632,0.103771139,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13914,D8P1,NA,NA,2021,Seguel,UChile,NA,-72.048847,-43.332211,testigo,NA,50,70,10.7333106,7.017933856,82.24875554,-999,1.580805938,0.133262063,0.101900977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13915,D8P2,NA,NA,2021,Seguel,UChile,NA,-71.98314,-43.275336,testigo,NA,50,70,4.783216783,25.87285442,69.3439288,-999,0.631283139,0.425624326,0.222282795,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13916,D11P5,NA,NA,2021,Seguel,UChile,NA,-71.941421,-43.606002,testigo,NA,50,70,4.441008772,39.16162281,56.39736842,-999,1.44369035,0.167113342,0.047092139,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13917,D11P9,NA,NA,2021,Seguel,UChile,NA,-71.883738,-43.596286,testigo,NA,50,70,7.454586273,5.842783836,86.70262989,-999,1.537645811,0.072367337,0.027330141,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13918,D12P6,NA,NA,2021,Seguel,UChile,NA,-72.113058,-43.589734,testigo,NA,50,70,4.948216224,6.86667075,88.18511303,-999,1.300530223,0.124672724,0.042188978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13919,D12P9,NA,NA,2021,Seguel,UChile,NA,-72.164201,-43.658029,testigo,NA,50,70,14.73857833,76.04963448,9.211787197,-999,1.245917286,0.415220834,0.120357314,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13920,D18P1,NA,NA,2021,Seguel,UChile,NA,-72.450669,-42.866309,testigo,NA,50,70,4.426499084,0.804818015,94.7686829,-999,1.655673383,0.046669988,0.034786534,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13921,D19P1,NA,NA,2021,Seguel,UChile,NA,-72.401393,-42.848333,testigo,NA,50,70,4.41203172,13.83773585,81.75023243,-999,1.466383881,0.059493936,0.023316163,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13944,PET-04F,NA,Petorca,2021,Seguel,UChile,NA,-70.700012,-32.235098,testigo,Sobrante arriba,0,5,13.473333330000001,19.39343434,67.13323232,2.659105582,1.441550841,0.211704462,0.096261845,0.174103877,0.054498903,0.115442617,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13960,C34 Arbosana,NA,NA,NA,NA,Otros,NA,-71.387004,-30.679859,testigo,NA,0,40,64,30,6,-999,1.24,0.458,0.349,-999,-999,0.109,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13961,C55 Koroneiki,NA,NA,NA,NA,Otros,NA,-71.389602,-30.668279,testigo,NA,0,40,48,32,20,-999,1.26,0.416,0.288,-999,-999,0.128,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13980,"Pino cima, los pozones",NA,Cauquenes,2023,NA,UChile,NA,-72.48,-35.92,testigo,NA,0,14,17.40603193,30.04612655,52.54784151,2.52,1.25,0.27,0.133070981,0.139722019,0.059985369,0.140667131,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13980,"Pino cima, los pozones",NA,Cauquenes,2023,NA,UChile,NA,-72.48,-35.92,testigo,NA,14,90,21.49472278,29.96860387,48.53667335,2.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
