id,soil depth,x,y,Fuente,profundidad,values
158,70,-70.71112414,-34.06875053,CIREN,0-5 cm,2.5
162,106,-72.88431803,-38.69269482,CIREN,0-5 cm,2.5
163,41,-71.25947272,-33.72926726,CIREN,0-5 cm,2.5
164,102,-70.81666786,-33.12883154,CIREN,0-5 cm,2.5
166,108,-71.21532065,-34.01763188,CIREN,0-5 cm,2.5
168,90,-73.40365986,-39.9326311,CIREN,0-5 cm,2.5
170,80,-71.3342922,-35.39454349,CIREN,0-5 cm,2.5
171,150,-72.94172765,-40.46586407,CIREN,0-5 cm,2.5
174,120,-72.36184887,-39.60460936,CIREN,0-5 cm,2.5
176,110,-73.31420668,-40.73358354,CIREN,0-5 cm,2.5
177,120,-73.58321145,-40.919615,CIREN,0-5 cm,2.5
178,125,-71.87630018,-36.324661,CIREN,0-5 cm,2.5
179,70,-70.70841403,-33.86848367,CIREN,0-5 cm,2.5
181,77,-71.12132587,-31.60764084,CIREN,0-5 cm,2.5
182,123,-71.52799922,-31.61917498,CIREN,0-5 cm,2.5
183,70,-72.68572105,-39.91511837,CIREN,0-5 cm,2.5
187,85,-73.80798481,-42.78383611,CIREN,0-5 cm,2.5
188,70,-71.10491905,-31.59979473,CIREN,0-5 cm,2.5
189,100,-72.7979509,-40.26323136,CIREN,0-5 cm,2.5
192,150,-72.71610449,-36.28337855,CIREN,0-5 cm,2.5
195,35,-72.604091,-44.85828232,CIREN,0-5 cm,2.5
196,57,-71.28086888,-33.83704457,CIREN,0-5 cm,2.5
197,120,-72.72740568,-37.40251869,CIREN,0-5 cm,2.5
198,90,-71.90416387,-37.12727376,CIREN,0-5 cm,2.5
201,120,-73.02310063,-38.07426331,CIREN,0-5 cm,2.5
204,120,-71.35944564,-33.68327947,CIREN,0-5 cm,2.5
205,120,-71.7996049,-35.3531037,CIREN,0-5 cm,2.5
206,120,-71.51594427,-33.96372998,CIREN,0-5 cm,2.5
210,150,-72.40048595,-36.6410312,CIREN,0-5 cm,2.5
214,110,-71.59186588,-35.39379577,CIREN,0-5 cm,2.5
215,90,-72.27452425,-39.57466949,CIREN,0-5 cm,2.5
216,120,-73.43547438,-41.68963222,CIREN,0-5 cm,2.5
217,110,-72.95075641,-39.57865869,CIREN,0-5 cm,2.5
220,150,-73.05921313,-38.04467344,CIREN,0-5 cm,2.5
221,107,-70.83567665,-33.32064026,CIREN,0-5 cm,2.5
223,18,-71.50087838,-35.61925878,CIREN,0-5 cm,30.4
225,90,-71.98481967,-39.36515528,CIREN,0-5 cm,2.5
226,80,-71.65078233,-35.81254132,CIREN,0-5 cm,2.5
227,82,-72.61813739,-39.38132498,CIREN,0-5 cm,2.5
228,100,-72.44872433,-37.64148304,CIREN,0-5 cm,2.5
229,16,-70.91952076,-33.64040225,CIREN,0-5 cm,30.2
230,150,-72.09944288,-38.57044183,CIREN,0-5 cm,2.5
232,40,-73.45132327,-39.97292421,CIREN,0-5 cm,2.5
233,130,-71.77402496,-35.28068512,CIREN,0-5 cm,2.5
238,120,-73.44245009,-37.32351936,CIREN,0-5 cm,2.5
239,130,-72.30299667,-39.85999427,CIREN,0-5 cm,2.5
241,100,-73.18612202,-37.18828488,CIREN,0-5 cm,2.3507893235903152
243,100,-72.72416744,-41.2440759,CIREN,0-5 cm,2.5
244,41,-71.2985001,-34.35308499,CIREN,0-5 cm,2.5
246,118,-71.3875378,-33.35185032,CIREN,0-5 cm,2.5
247,96,-71.25235964,-34.33500972,CIREN,0-5 cm,2.5
248,59,-71.15395981,-34.48193853,CIREN,0-5 cm,2.5
249,56,-72.30037308,-38.59868091,CIREN,0-5 cm,2.5
251,50,-71.28217631,-30.10844788,CIREN,0-5 cm,2.5
254,110,-73.05086743,-40.26010746,CIREN,0-5 cm,2.5
256,110,-72.5240373,-37.48899095,CIREN,0-5 cm,2.5
258,78,-71.28413695,-33.50616427,CIREN,0-5 cm,2.5
260,150,-72.56692704,-39.35143644,CIREN,0-5 cm,2.5
261,120,-70.70322281,-33.63365222,CIREN,0-5 cm,2.5
264,90,-73.7994099,-42.05202408,CIREN,0-5 cm,2.5
266,100,-72.60732486,-42.40483746,CIREN,0-5 cm,2.5
268,120,-71.60637995,-36.51290953,CIREN,0-5 cm,2.5
270,100,-71.81517439,-35.61051775,CIREN,0-5 cm,2.5
271,140,-73.43318759,-37.28013959,CIREN,0-5 cm,2.5
272,120,-72.61010278,-38.77931309,CIREN,0-5 cm,2.5
274,140,-72.69905822,-38.15622525,CIREN,0-5 cm,2.5
275,58,-71.45957747,-31.62231559,CIREN,0-5 cm,2.5
280,80,-71.20096976,-34.53068732,CIREN,0-5 cm,2.5
281,112,-73.44785946,-41.67449407,CIREN,0-5 cm,2.5
284,70,-71.4438516,-31.58519029,CIREN,0-5 cm,2.5
285,100,-71.73751278,-35.24095633,CIREN,0-5 cm,2.5
286,90,-73.70702893,-42.34597449,CIREN,0-5 cm,2.5
287,120,-72.06084523,-39.33885637,CIREN,0-5 cm,2.5
289,82,-70.80133518,-33.42748408,CIREN,0-5 cm,2.5
290,95,-71.85647305,-38.87604473,CIREN,0-5 cm,2.5
291,35,-71.56805548,-37.30499689,CIREN,0-5 cm,2.5
292,75,-71.65094453,-35.91708969,CIREN,0-5 cm,2.5
293,100,-73.38366684,-37.25405693,CIREN,0-5 cm,2.5
294,80,-70.97174415,-34.41919644,CIREN,0-5 cm,2.5
297,120,-72.91338174,-40.35275246,CIREN,0-5 cm,2.5
298,120,-71.96073617,-36.81643138,CIREN,0-5 cm,2.5
299,140,-71.80375802,-36.64541168,CIREN,0-5 cm,2.5
300,150,-73.21229202,-41.32970875,CIREN,0-5 cm,2.5
