id,soil depth,x,y,Fuente,profundidad,values
136,80,-71.69721623,-35.45007581,CIREN,0-5 cm,1.7000000000000002
137,90,-72.16519806,-36.53112663,CIREN,0-5 cm,1.543672674314564
138,110,-71.5666817,-36.05231629,CIREN,0-5 cm,1.2318497536559845
140,85,-72.42061899,-37.53679327,CIREN,0-5 cm,1.337048088732865
142,85,-72.86391907,-37.80428466,CIREN,0-5 cm,1.2008634170996215
145,100,-72.40011493,-38.05852516,CIREN,0-5 cm,1.3770618010489126
147,80,-71.01548493,-31.80147537,CIREN,0-5 cm,1.2442878115776983
149,80,-72.62412548,-39.04953167,CIREN,0-5 cm,0.579834992037529
150,57,-73.06148219,-41.13631084,CIREN,0-5 cm,0.5282664989038262
151,90,-71.96361717,-36.60008585,CIREN,0-5 cm,1.4826165264563098
152,150,-72.54194804,-37.73537528,CIREN,0-5 cm,1.357574232895674
154,65,-70.71220739,-34.06873544,CIREN,0-5 cm,1.0996134735337184
157,120,-72.94853094,-38.97946796,CIREN,0-5 cm,0.7889084617918487
158,70,-70.71112414,-34.06875053,CIREN,0-5 cm,1.080027060269275
162,106,-72.88431803,-38.69269482,CIREN,0-5 cm,1.3933802400690416
163,41,-71.25947272,-33.72926726,CIREN,0-5 cm,1.4776240695394285
164,102,-70.81666786,-33.12883154,CIREN,0-5 cm,1.824719280445786
166,108,-71.21532065,-34.01763188,CIREN,0-5 cm,1.748179413387751
168,90,-73.40365986,-39.9326311,CIREN,0-5 cm,1.5393563048006111
170,80,-71.3342922,-35.39454349,CIREN,0-5 cm,1.5543560662353073
171,150,-72.94172765,-40.46586407,CIREN,0-5 cm,1.132812447687881
174,120,-72.36184887,-39.60460936,CIREN,0-5 cm,0.864397288618281
176,110,-73.31420668,-40.73358354,CIREN,0-5 cm,1.138548031416846
177,120,-73.58321145,-40.919615,CIREN,0-5 cm,0.8769198634109753
178,125,-71.87630018,-36.324661,CIREN,0-5 cm,1.3143210856786058
179,70,-70.70841403,-33.86848367,CIREN,0-5 cm,1.5979498413560191
180,16,-70.90271344,-30.77803062,CIREN,0-5 cm,1.66
181,77,-71.12132587,-31.60764084,CIREN,0-5 cm,1.7342173751661123
182,123,-71.52799922,-31.61917498,CIREN,0-5 cm,1.1931718158164524
183,70,-72.68572105,-39.91511837,CIREN,0-5 cm,1.0100100349404677
184,40,-71.20775504,-30.61181887,CIREN,0-5 cm,1.802687093342317
187,85,-73.80798481,-42.78383611,CIREN,0-5 cm,0.4448947474509199
188,70,-71.10491905,-31.59979473,CIREN,0-5 cm,1.5098287904461611
189,100,-72.7979509,-40.26323136,CIREN,0-5 cm,0.5819559834638276
192,150,-72.71610449,-36.28337855,CIREN,0-5 cm,1.376856647812747
195,35,-72.604091,-44.85828232,CIREN,0-5 cm,0.6671250038344549
196,57,-71.28086888,-33.83704457,CIREN,0-5 cm,1.9190950819852104
197,120,-72.72740568,-37.40251869,CIREN,0-5 cm,0.7762526660020114
198,90,-71.90416387,-37.12727376,CIREN,0-5 cm,0.9575809581197864
201,120,-73.02310063,-38.07426331,CIREN,0-5 cm,1.4526027128078436
204,120,-71.35944564,-33.68327947,CIREN,0-5 cm,1.7236213398644478
205,120,-71.7996049,-35.3531037,CIREN,0-5 cm,1.580477221267378
206,120,-71.51594427,-33.96372998,CIREN,0-5 cm,1.9924393963044131
210,150,-72.40048595,-36.6410312,CIREN,0-5 cm,1.443815369624564
214,110,-71.59186588,-35.39379577,CIREN,0-5 cm,1.598980807035176
215,90,-72.27452425,-39.57466949,CIREN,0-5 cm,0.8621861194187385
216,120,-73.43547438,-41.68963222,CIREN,0-5 cm,0.8468463226388374
217,110,-72.95075641,-39.57865869,CIREN,0-5 cm,0.8982496828029263
220,150,-73.05921313,-38.04467344,CIREN,0-5 cm,1.5739611269269724
221,107,-70.83567665,-33.32064026,CIREN,0-5 cm,1.4988836835482389
223,18,-71.50087838,-35.61925878,CIREN,0-5 cm,1.5
225,90,-71.98481967,-39.36515528,CIREN,0-5 cm,0.7230758563116102
226,80,-71.65078233,-35.81254132,CIREN,0-5 cm,1.685356049790064
227,82,-72.61813739,-39.38132498,CIREN,0-5 cm,0.7119121967964607
228,100,-72.44872433,-37.64148304,CIREN,0-5 cm,1.1923054762698884
229,16,-70.91952076,-33.64040225,CIREN,0-5 cm,1.6
230,150,-72.09944288,-38.57044183,CIREN,0-5 cm,0.6359139305170528
232,40,-73.45132327,-39.97292421,CIREN,0-5 cm,0.8774645052769133
233,130,-71.77402496,-35.28068512,CIREN,0-5 cm,2.0921079542887195
238,120,-73.44245009,-37.32351936,CIREN,0-5 cm,1.3141159233966138
239,130,-72.30299667,-39.85999427,CIREN,0-5 cm,0.8048899193769068
241,100,-73.18612202,-37.18828488,CIREN,0-5 cm,1.5722404293052523
243,100,-72.72416744,-41.2440759,CIREN,0-5 cm,0.4766426492605863
244,41,-71.2985001,-34.35308499,CIREN,0-5 cm,1.242502414563476
246,118,-71.3875378,-33.35185032,CIREN,0-5 cm,1.7987495209403928
247,96,-71.25235964,-34.33500972,CIREN,0-5 cm,1.1375546153126788
248,59,-71.15395981,-34.48193853,CIREN,0-5 cm,0.6823345441383801
